,あ,Ah
,ああ,like that
,あいさつ?する,to greet
間,あいだ,a space
合う,あう,to match
,あかちゃん,infant
上る,あがる,to rise
赤ん坊,あかんぼう,baby
空く,あく,"to open, to become empty"
,アクセサリー,accessory
,あげる,to give
浅い,あさい,"shallow,superficial"
味,あじ,flavour
,アジア,Asia
明日,あす,tomorrow
遊び,あそび,play
集る,あつまる,to gather
集める,あつめる,to collect something
,アナウンサー,announcer
,アフリカ,Africa
,アメリカ,America
謝る,あやまる,to apologize
,アルコール,alcohol
,アルバイト,part-time job
安心,あんしん,relief
安全,あんぜん,safety
,あんな,such
案内,あんない?する,to guide
以下,いか,less than
以外,いがい,with the exception of
医学,いがく,medical science
生きる,いきる,to live
意見,いけん,opinion
石,いし,stone
,いじめる,to tease
以上,いじょう,"more than,this is all"
急ぐ,いそぐ,to hurry
致す,いたす,(humble) to do
,いただく,(humble) to receive
一度,いちど,once
一生懸命,いっしょうけんめい,with utmost effort
,いっぱい,full
糸,いと,thread
以内,いない,within
田舎,いなか,countryside
祈る,いのる,to pray
,いらっしゃる,"(respectful) to be,to come or to go"
植える,うえる,"to plant,to grow"
,うかがう,to visit
受付,うけつけ,receipt
受ける,うける,to take a lesson or test
動く,うごく,to move
,うそ,a lie
,うち,within
打つ,うつ,to hit
美しい,うつくしい,beautiful
写す,うつす,to copy or photograph
移る,うつる,to move house or transfer
腕,うで,arm
,うまい,delicious
裏,うら,reverse side
売り場,うりば,place where things are sold
,うれしい,glad
,うん,(informal) yes
運転,うんてん?する,to drive
運転手,うんてんしゅ,driver
運動,うんどう?する,to exercise
,エスカレーター,escalator
枝,えだ,"branch, twig"
選ぶ,えらぶ,to choose
遠慮,えんりょ?する,"to be reserved, to be restrained"
,おいでになる,(respectful) to be
お祝い,おいわい,congratulation
,オートバイ,motorcycle
,おかげ,owing to
,おかしい,strange or funny
億,おく,one hundred million
屋上,おくじょう,rooftop
贈り物,おくりもの,gift
送る,おくる,to send
遅れる,おくれる,to be late
起す,おこす,to wake
行う,おこなう,to do
怒る,おこる,"to get angry,to be angry"
押し入れ,おしいれ,closet
お嬢さん,おじょうさん,young lady
お宅,おたく,(polite) your house
落る,おちる,to fall or drop
,おっしゃる,(respectful) to say
夫,おっと,husband
,おつり,"change from purchase, balance"
音,おと,"sound,note"
落す,おとす,to drop
踊り,おどり,a dance
踊る,おどる,to dance
驚く,おどろく,to be surprised
お祭り,おまつり,festival
お見舞い,おみまい,"calling on someone who is ill,enquiry"
お土産,おみやげ,souvenir
思い出す,おもいだす,to remember
思う,おもう,"to think,to feel"
,おもちゃ,toy
表,おもて,the front
親,おや,parents
下りる,おりる,to get off
折る,おる,to break or to fold
お礼,おれい,expression of gratitude
折れる,おれる,to break or be folded
終わり,おわり,the end
,カーテン,curtain
海岸,かいがん,coast
会議,かいぎ,meeting
会議室,かいぎしつ,meeting room
会場,かいじょう,assembly hall or meeting place
会話,かいわ,conversation
帰り,かえり,return
変える,かえる,to change
科学,かがく,science
鏡,かがみ,mirror
掛ける,かける,to hang something
飾る,かざる,to decorate
火事,かじ,fire
,ガス,petrol
,ガソリン,petrol
,ガソリンスタンド,petrol station
堅/硬/固い,かたい,hard
形,かたち,shape
片付ける,かたづける,to tidy up
課長,かちょう,section manager
勝つ,かつ,to win
,かっこう,appearance
家内,かない,housewife
悲しい,かなしい,sad
必ず,かならず,"certainly,necessarily"
お?金持ち,かねもち/おかねもち,rich man
彼女,かのじょ,"she,girlfriend"
壁,かべ,wall
,かまう,to mind
髪,かみ,hair
噛む,かむ,"to bite,to chew"
通う,かよう,to commute
,ガラス,a glass pane
彼,かれ,"he,boyfriend"
彼ら,かれら,they
乾く,かわく,to get dry
代わり,かわり,"substitute,alternate"
変わる,かわる,to change
考える,かんがえる,to consider
関係,かんけい,relationship
看護婦,かんごふ,female nurse
簡単,かんたん,simple
気,き,"spirit,mood"
機会,きかい,opportunity
危険,きけん,danger
聞こえる,きこえる,to be heard
汽車,きしゃ,steam train
技術,ぎじゅつ,"art,technology,skill"
季節,きせつ,season
規則,きそく,regulations
,きっと,surely
絹,きぬ,silk
厳しい,きびしい,strict
気分,きぶん,mood
決る,きまる,to be decided
君,きみ,(informal) You (used by men towards women)
決める,きめる,to decide
気持ち,きもち,"feeling,mood"
着物,きもの,kimono
客,きゃく,"guest,customer"
急,きゅう,"urgent, steep"
急行,きゅうこう,"speedy, express"
教育,きょういく,education
教会,きょうかい,church
競争,きょうそう,competition
興味,きょうみ,an interest
近所,きんじょ,neighbourhood
具合,ぐあい,"condition,health"
空気,くうき,"air,atmosphere"
空港,くうこう,airport
草,くさ,grass
,くださる,(respectful) to give
首,くび,neck
雲,くも,cloud
比べる,くらべる,to compare
,くれる,to give
暮れる,くれる,"to get dark,to come to an end"
君,くん,suffix for familiar young male
毛,け,hair or fur
計画,けいかく?する,to plan
経験,けいけん?する,to experience
経済,けいざい,"finance,economy"
警察,けいさつ,police
,ケーキ,cake
,けが?する,to injure
景色,けしき,"scene,landscape"
消しゴム,けしゴム,eraser
下宿,げしゅく,lodging
決して,けっして,never
,けれど/けれども,however
原因,げんいん,"cause,source"
,けんか?する,to quarrel
研究,けんきゅう,research
研究室,けんきゅうしつ,"study room,laboratory"
見物,けんぶつ,sightseeing
子,こ,child
,こう,this way
郊外,こうがい,outskirts
講義,こうぎ,lecture
工業,こうぎょう,the manufacturing industry
高校,こうこう,high school
高校生,こうこうせい,high school student
工場,こうじょう,factory
校長,こうちょう,headmaster
交通,こうつう,"traffic,transportation"
講堂,こうどう,auditorium
高等学校,こうとうがっこう,high school
公務員,こうむいん,government worker
国際,こくさい,international
心,こころ,"core,heart"
御主人,ごしゅじん,(honorable) your husband
故障,こしょう?する,to break-down
